"#TAXONOMY","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV55","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV56","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV57","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV58","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV59","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella"
"ASV60","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Cobetia"
"ASV61","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia"
"ASV62","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV63","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA
"ASV64","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV65","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV66","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV67","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV68","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV69","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV70","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV71","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV72","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maribacter"
"ASV73","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas"
"ASV74","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thioclava"
"ASV75","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV76","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV77","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas"
"ASV78","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Methylophagaceae","Methylophaga"
"ASV79","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV80","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thioclava"
"ASV81","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Psychromonas"
"ASV82","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV83","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV84","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV85","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA
"ASV86","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV87","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA
"ASV88","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ASV89","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella"
"ASV90","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV91","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Nonlabens"
"ASV92","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter"
"ASV93","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Aquimixticola"
"ASV94","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
"ASV95","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
"ASV96","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV97","Bacteria","Acidobacteriota","ODP1230B23.02",NA,NA,NA
"ASV98","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia"
"ASV99","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Mesonia"
"ASV100","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halomonadaceae","Cobetia"
"ASV101","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella"
"ASV102","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV103","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV104","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio"
"ASV105","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gillisia"
"ASV106","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV107","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter"
"ASV108","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas"
"ASV109","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA
"ASV110","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA
"ASV111","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter"
"ASV112","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas"
"ASV113","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ponticoccus"
"ASV114","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas"
