location,coordinates x,coordinates y,soil_type,elevation,depth,body_site,temperature,pH
Ольхон,53.283994 N,107.57663 E,Ствол синлитогенные отдел: слаборазвитые тип почвы: псаммозем типичный,465.00,0.20,,14.20,
Ольхон,53.28414 N,107.576568 E,Ствол синлитогенные отдел: слаборазвитые тип почвы: псаммозем типичный,464.00,0.20,,14.20,
Ольхон,53.283948 N,107.576679 E,Ствол синлитогенные отдел: слаборазвитые тип почвы: псаммозем типичный,465.00,0.20,,14.20,
